FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.195882088,0.765041769,0.728099167,0.804938257
0.196669667,0.765549183,0.728925645,0.806086957
0.197457246,0.765949726,0.729752064,0.806986928
0.198244824,0.766361356,0.729797959,0.807106614
0.199032403,0.766361356,0.729797959,0.807106614
0.199819982,0.766854882,0.730639756,0.807106614
0.200607561,0.767329395,0.731481493,0.807826102
0.201395140,0.767329395,0.731481493,0.807826102
0.202182718,0.767759383,0.731481493,0.808510661
0.202970297,0.768292665,0.732188821,0.809876561
0.203757876,0.768292665,0.732188821,0.809876561
0.204545455,0.768782079,0.732489467,0.811353683
0.205333033,0.769201398,0.732673287,0.811688304
0.206120612,0.769705713,0.732882500,0.812173903
0.206908191,0.769705713,0.732882500,0.812173903
0.207695770,0.770170271,0.732882500,0.812173903
0.208483348,0.770620704,0.733275414,0.813000917
0.209270927,0.770620704,0.733275414,0.813000917
0.210058506,0.771184206,0.733275414,0.813698649
0.210846085,0.771837175,0.733386695,0.814260542
0.211633663,0.771837175,0.733386695,0.814260542
0.212421242,0.772450149,0.733782649,0.814720809
0.213208821,0.772959709,0.734144211,0.814935088
0.213996400,0.773465931,0.734144211,0.815319121
0.214783978,0.773465931,0.734144211,0.815319121
0.215571557,0.774077773,0.734144211,0.816460907
0.216359136,0.774653614,0.734710753,0.817453265
0.217146715,0.774653614,0.734710753,0.817453265
0.217934293,0.775245130,0.735418439,0.817453265
0.218721872,0.775766134,0.735418439,0.817872345
0.219509451,0.775766134,0.735418439,0.817872345
0.220297030,0.776256859,0.736589253,0.818255246
0.221084608,0.776812613,0.736798704,0.818499148
0.221872187,0.777349353,0.737152457,0.819371700
0.222659766,0.777349353,0.737152457,0.819371700
0.223447345,0.777936399,0.737690985,0.819611490
0.224234923,0.778491855,0.738893211,0.819870770
0.225022502,0.778491855,0.738893211,0.819870770
0.225810081,0.778989136,0.739242673,0.819967270
0.226597660,0.779588759,0.739242673,0.820678532
0.227385239,0.779588759,0.739242673,0.820678532
0.228172817,0.780251205,0.739388824,0.820846915
0.228960396,0.780927241,0.739864886,0.821529746
0.229747975,0.781445026,0.740418136,0.822796106
0.230535554,0.781445026,0.740418136,0.822796106
0.231323132,0.781990707,0.740432620,0.822862148
0.232110711,0.782544434,0.742148757,0.822978735
0.232898290,0.782544434,0.742148757,0.822978735
0.233685869,0.783096075,0.742685020,0.823318362
0.234473447,0.783645630,0.742685020,0.823318362
0.235261026,0.783645630,0.742685020,0.823318362
0.236048605,0.784126103,0.742975235,0.823478281
0.236836184,0.784607530,0.743079603,0.823734701
0.237623762,0.785117388,0.743569732,0.824680865
0.238411341,0.785117388,0.743569732,0.824680865
0.239198920,0.785684764,0.744281054,0.824680865
0.239986499,0.786228001,0.744628072,0.825339377
0.240774077,0.786228001,0.744628072,0.825339377
0.241561656,0.786769927,0.744932413,0.825570762
0.242349235,0.787293434,0.745577097,0.825570762
0.243136814,0.787293434,0.745577097,0.825570762
0.243924392,0.787741065,0.745577097,0.825783968
0.244711971,0.788180768,0.745606720,0.825783968
0.245499550,0.788697362,0.746280968,0.827225149
0.246287129,0.788697362,0.746280968,0.827225149
0.247074707,0.789192379,0.746987939,0.827225149
0.247862286,0.789662659,0.747280359,0.827826083
0.248649865,0.789662659,0.747280359,0.827826083
0.249437444,0.790174246,0.748104453,0.827826083
0.250225023,0.790679276,0.748189867,0.827937067
0.251012601,0.790679276,0.748189867,0.827937067
0.251800180,0.791143417,0.748994350,0.828397214
0.252587759,0.791616261,0.748994350,0.829029381
